train/policy_loss,train/entropy_loss,time/total_timesteps,train/value_loss,train/n_updates,rollout/ep_rew_mean,train/std,train/explained_variance,train/learning_rate,time/time_elapsed,time/iterations,time/fps
-67.78054809570312,-1.419664740562439,100,3135.094482421875,19,-14.536708,1.0005322694778442,-0.023770689964294434,0.0007,,,
8.59166145324707,-1.4291765689849854,200,263.67022705078125,39,-16.644194,1.010513424873352,-0.5992220640182495,0.0007,,,
-66.08088684082031,-1.4291390180587769,300,2559.643310546875,59,-17.041727,1.0104445219039917,-0.551742672920227,0.0007,,,
-74.99530029296875,-1.4327566623687744,400,4564.3388671875,79,-17.619629,1.0143649578094482,7.385015487670898e-05,0.0007,,,
-66.01524353027344,-1.4309900999069214,500,1978.787109375,99,-17.896418,1.011820912361145,0.001690685749053955,0.0007,,,
,,500,,,,,,,0,100,1036
-126.90766906738281,-1.4359492063522339,600,8464.6865234375,119,-14.959591,1.0170153379440308,0.00011050701141357422,0.0007,,,
-43.03748321533203,-1.4374014139175415,700,3109.93408203125,139,-15.723677,1.0198403596878052,0.00036585330963134766,0.0007,,,
-13.031503677368164,-1.4440745115280151,800,47.93610763549805,159,-16.021801,1.024162769317627,-0.0538332462310791,0.0007,,,
-60.8079719543457,-1.440950632095337,900,2512.47802734375,179,-16.284855,1.0227853059768677,-0.007624387741088867,0.0007,,,
-60.17732620239258,-1.44431734085083,1000,3544.106689453125,199,-17.347301,1.0264629125595093,-1.4424324035644531e-05,0.0007,,,
,,1000,,,,,,,0,200,1000
-73.63739013671875,-1.4489002227783203,1100,1518.1124267578125,219,-17.668592,1.0291739702224731,0.0008341073989868164,0.0007,,,
-141.3386688232422,-1.4521669149398804,1200,9204.310546875,239,-16.551126,1.0334703922271729,-0.00011134147644042969,0.0007,,,
-50.966758728027344,-1.4534941911697388,1300,3327.65087890625,259,-15.892704,1.0362880229949951,0.00036919116973876953,0.0007,,,
-3.2550323009490967,-1.4580990076065063,1400,29.59458351135254,279,-17.422361,1.0408155918121338,0.002526581287384033,0.0007,,,
-60.002899169921875,-1.4581751823425293,1500,1776.748046875,299,-16.47544,1.0399959087371826,-0.02715599536895752,0.0007,,,
,,1500,,,,,,,1,300,990
-102.3692398071289,-1.456791639328003,1600,4442.2333984375,319,-17.23839,1.037928581237793,-4.6253204345703125e-05,0.0007,,,
-62.13117599487305,-1.4612228870391846,1700,1984.567138671875,339,-17.917896,1.0432034730911255,0.001399993896484375,0.0007,,,
-168.22439575195312,-1.4611129760742188,1800,9306.4853515625,359,-16.408054,1.0422416925430298,-0.000516057014465332,0.0007,,,
-82.76004791259766,-1.4625515937805176,1900,3709.155517578125,379,-16.275599,1.0442769527435303,0.0002974271774291992,0.0007,,,
32.811767578125,-1.4636762142181396,2000,1135.932373046875,399,-16.504635,1.0450128316879272,-0.011600494384765625,0.0007,,,
,,2000,,,,,,,1,400,1004
-65.7754135131836,-1.463531255722046,2100,1771.0084228515625,419,-17.195969,1.0453099012374878,-0.008930563926696777,0.0007,,,
-76.6952896118164,-1.4650441408157349,2200,4026.137451171875,439,-16.38913,1.0473603010177612,1.4483928680419922e-05,0.0007,,,
-53.4810905456543,-1.4634225368499756,2300,1793.363525390625,459,-17.430464,1.0459192991256714,0.0003514289855957031,0.0007,,,
-173.53311157226562,-1.4692672491073608,2400,9207.876953125,479,-16.962902,1.0506346225738525,-0.00018405914306640625,0.0007,,,
-70.88673400878906,-1.4740355014801025,2500,3692.766357421875,499,-15.731836,1.0568890571594238,0.00010478496551513672,0.0007,,,
,,2500,,,,,,,2,500,1007
117.2727279663086,-1.4786388874053955,2600,11326.3623046875,519,-16.106705,1.0608993768692017,0.00041610002517700195,0.0007,,,
-56.87128829956055,-1.47798752784729,2700,1433.943115234375,539,-16.395258,1.060679316520691,-0.0029675960540771484,0.0007,,,
-63.3181037902832,-1.486182689666748,2800,4085.34716796875,559,-17.469301,1.0704447031021118,1.424551010131836e-05,0.0007,,,
-63.04404830932617,-1.4851137399673462,2900,1999.253173828125,579,-17.466835,1.0684475898742676,0.00018644332885742188,0.0007,,,
-119.69096374511719,-1.4922130107879639,3000,9928.6328125,599,-15.940695,1.076464056968689,-0.00010943412780761719,0.0007,,,
,,3000,,,,,,,3,600,998
-102.33946228027344,-1.4962981939315796,3100,3613.627685546875,619,-16.314688,1.0793652534484863,0.00015372037887573242,0.0007,,,
8.177133560180664,-1.4973822832107544,3200,37.08522415161133,639,-16.764395,1.0823100805282593,0.026705622673034668,0.0007,,,
-43.93302536010742,-1.4994242191314697,3300,1321.642822265625,659,-16.755672,1.0844624042510986,-0.000598907470703125,0.0007,,,
-82.05309295654297,-1.4941091537475586,3400,4909.693359375,679,-15.198033,1.0784106254577637,3.933906555175781e-06,0.0007,,,
-42.778785705566406,-1.494907259941101,3500,1455.9007568359375,699,-18.236311,1.079764485359192,0.00012683868408203125,0.0007,,,
,,3500,,,,,,,3,700,1004
-121.41743469238281,-1.4979493618011475,3600,9569.419921875,719,-16.820318,1.0825366973876953,-6.175041198730469e-05,0.0007,,,
