time/total_timesteps,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate
100,10.616747,,,,,,
200,11.627929,0.9798814058303833,99,-5.205465793609619,-0.03342626988887787,3039.276123046875,0.0003
300,6.9840517,0.9512283802032471,199,-11.886823654174805,-0.07329702377319336,2236.0,0.0003
400,17.134253,0.9242128133773804,299,-15.63778305053711,-0.10498315095901489,2374.91845703125,0.0003
500,26.647245,0.9002178311347961,399,-21.682687759399414,-0.13989420235157013,2734.1171875,0.0003
600,38.393753,0.8809265494346619,499,-25.109052658081055,-0.13505122065544128,4411.35302734375,0.0003
700,52.59931,0.8698962330818176,599,-42.224544525146484,-0.08236411213874817,4817.67431640625,0.0003
