state,action,reward,next_state
"[48.93180847167969, 58.57514572143555, 5.057573318481445]",0.0,-11.008113665583465,"[48.93180847167969, 17.30118179321289, 3.528028726577759]"
"[48.93180847167969, 17.30118179321289, 3.528028726577759]",-17.30118179321289,72.69671352448383,"[31.630626678466797, 16.72662353515625, 4.339249134063721]"
"[50.0, 7.447265148162842, 3.0672197341918945]",-7.447265148162842,61.045650832102794,"[42.552734375, -7.962003707885742, 4.7883100509643555]"
"[42.552734375, -7.962003707885742, 4.7883100509643555]",7.962003707885742,-1.4661933911925955,"[50.514739990234375, 3.8890583515167236, 8.178729057312012]"
"[50.514739990234375, 3.8890583515167236, 8.178729057312012]",-25.257369995117188,77.0906883545643,"[25.257369995117188, -10.70641803741455, 7.044585704803467]"
"[25.257369995117188, -10.70641803741455, 7.044585704803467]",-12.628684997558594,1.9562388667883175,"[12.628684997558594, 12.092830657958984, 7.668993949890137]"
"[12.628684997558594, 12.092830657958984, 7.668993949890137]",-0.5358543395996094,-9.092127830632855,"[12.092830657958984, 34.16256332397461, 6.321828365325928]"
"[12.092830657958984, 34.16256332397461, 6.321828365325928]",0.0,-17.411583132523095,"[12.092830657958984, 60.79785919189453, 7.7006144523620605]"
"[12.092830657958984, 60.79785919189453, 7.7006144523620605]",0.0,-21.91658616623973,"[12.092830657958984, 90.72689819335938, 7.697574615478516]"
"[12.092830657958984, 90.72689819335938, 7.697574615478516]",0.0,-27.933916850167382,"[12.092830657958984, 87.03091430664062, 6.77321720123291]"
"[12.092830657958984, 87.03091430664062, 6.77321720123291]",0.0,-25.580774255818714,"[12.092830657958984, 98.56011962890625, 7.126834392547607]"
"[12.092830657958984, 98.56011962890625, 7.126834392547607]",0.0,-21.72232701444478,"[12.092830657958984, 77.1180191040039, 6.622107982635498]"
"[12.092830657958984, 77.1180191040039, 6.622107982635498]",0.0,-13.477076738710275,"[12.092830657958984, 52.45574188232422, 5.586250305175781]"
"[12.092830657958984, 52.45574188232422, 5.586250305175781]",0.0,-8.948706266457972,"[12.092830657958984, 23.0668888092041, 4.331509590148926]"
"[12.092830657958984, 23.0668888092041, 4.331509590148926]",0.0,-7.937100705383756,"[12.092830657958984, 16.57769012451172, 5.757942199707031]"
"[12.092830657958984, 16.57769012451172, 5.757942199707031]",0.0,-17.737021065901427,"[12.092830657958984, 63.870792388916016, 1.8123325109481812]"
"[12.092830657958984, 63.870792388916016, 1.8123325109481812]",50.0,-15.884515349440274,"[62.092830657958984, 81.7801284790039, 1.7015918493270874]"
"[62.092830657958984, 81.7801284790039, 1.7015918493270874]",50.0,-26.557250599159588,"[100.0, 90.59178924560547, 2.4206082820892334]"
"[100.0, 90.59178924560547, 2.4206082820892334]",-90.59178924560547,39.982570582536745,"[9.408210754394531, 124.6495361328125, 2.8781607151031494]"
"[9.408210754394531, 124.6495361328125, 2.8781607151031494]",50.0,-34.45707897418046,"[59.40821075439453, 122.11446380615234, 1.7829818725585938]"
"[59.40821075439453, 122.11446380615234, 1.7829818725585938]",50.0,-36.942972856056016,"[100.0, 131.48106384277344, 1.6754156351089478]"
"[100.0, 131.48106384277344, 1.6754156351089478]",0.0,-27.713897761053243,"[100.0, 104.40628051757812, 2.215139389038086]"
"[100.0, 104.40628051757812, 2.215139389038086]",0.0,-29.104605807190957,"[100.0, 88.9564437866211, 2.355835199356079]"
"[100.0, 88.9564437866211, 2.355835199356079]",-88.9564437866211,79.555422394688,"[11.043556213378906, 51.04595947265625, 4.348581790924072]"
"[11.043556213378906, 51.04595947265625, 4.348581790924072]",0.0,-11.644992889843689,"[11.043556213378906, 36.323219299316406, 5.576869010925293]"
"[11.043556213378906, 36.323219299316406, 5.576869010925293]",0.0,-1.31152905217906,"[11.043556213378906, -21.565462112426758, 4.205532550811768]"
"[50.0, -3.9613430500030518, 3.7931439876556396]",3.9613430500030518,-1.6022780013575608,"[53.961341857910156, -11.342826843261719, 4.421509742736816]"
"[53.961341857910156, -11.342826843261719, 4.421509742736816]",11.342826843261719,0.0,"[65.30416870117188, 12.272753715515137, 8.7581787109375]"
