time/total_timesteps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
100,4.085787,,,,
200,-13.1557865,8.682168960571289,4993.22509765625,0.0003,99
300,-17.338861,16.750198364257812,2145.99462890625,0.0003,199
400,-17.417164,15.958222389221191,2584.1064453125,0.0003,299
500,-17.984764,21.173355102539062,998.424560546875,0.0003,399
600,-11.027811,21.854232788085938,592.3057861328125,0.0003,499
700,-16.407215,23.671831130981445,1748.900390625,0.0003,599
800,-17.351923,23.43441390991211,3933.09814453125,0.0003,699
900,-18.123743,31.271921157836914,3668.12646484375,0.0003,799
1000,-17.492191,40.117820739746094,709.669189453125,0.0003,899
1100,-17.071636,32.125343322753906,1678.742919921875,0.0003,999
1200,-17.316381,40.370513916015625,3732.666015625,0.0003,1099
1300,-16.561813,44.39418029785156,977.7269287109375,0.0003,1199
1400,-17.438013,43.116981506347656,2156.0634765625,0.0003,1299
1500,-17.299717,39.77116012573242,3010.630859375,0.0003,1399
1600,-17.136791,51.05238342285156,901.5439453125,0.0003,1499
1700,-18.109388,55.918487548828125,1145.729248046875,0.0003,1599
1800,-16.8961,58.636375427246094,1557.0947265625,0.0003,1699
1900,-16.95921,66.71492004394531,1249.246337890625,0.0003,1799
2000,-17.326813,64.65001678466797,1293.5263671875,0.0003,1899
2100,-17.419811,68.63050079345703,2656.812744140625,0.0003,1999
2200,-17.707392,77.31720733642578,1657.39111328125,0.0003,2099
2300,-17.87875,71.51641082763672,3218.24267578125,0.0003,2199
2400,29.789698,63.357852935791016,2143.7666015625,0.0003,2299
2500,100.70857,70.1414794921875,4392.5537109375,0.0003,2399
2600,97.204285,24.38507080078125,3750.81201171875,0.0003,2499
2700,94.93726,17.631153106689453,4731.9404296875,0.0003,2599
2800,99.28607,-6.342641830444336,7724.470703125,0.0003,2699
2900,98.25475,-22.032590866088867,6420.7197265625,0.0003,2799
3000,94.40989,-71.25534057617188,7473.6875,0.0003,2899
3100,97.17899,-83.6037368774414,8464.6240234375,0.0003,2999
3200,89.576996,-115.74575805664062,13686.689453125,0.0003,3099
3300,87.12424,-123.45630645751953,13939.578125,0.0003,3199
3400,91.86538,-119.67013549804688,12369.890625,0.0003,3299
3500,87.58506,-130.81771850585938,20080.6796875,0.0003,3399
3600,96.601654,-136.8871612548828,21410.484375,0.0003,3499
3700,94.743515,-146.46022033691406,17751.36328125,0.0003,3599
3800,91.59913,-161.57252502441406,22591.02734375,0.0003,3699
3900,93.97007,-204.7945098876953,19028.4765625,0.0003,3799
4000,96.04498,-217.00120544433594,27748.38671875,0.0003,3899
4100,82.73204,-242.60958862304688,40859.9609375,0.0003,3999
4200,89.18231,-238.14849853515625,36188.640625,0.0003,4099
4300,103.85847,-278.77618408203125,39326.0546875,0.0003,4199
4400,94.2775,-319.09295654296875,30094.77734375,0.0003,4299
4500,100.661,-296.7870788574219,45707.390625,0.0003,4399
